2018 Testbeam Scan3 timing data
 Module1    Module2    Module3    Module4    Module5
  45.984,    50.100,    51.307,    34.339,    41.939
  46.977,    51.093,    52.300,    35.203,    43.170
  47.970,    52.086,    53.293,    36.234,    43.683
  48.963,    53.079,    54.286,    37.527,    44.928
  49.956,    54.072,    55.279,    38.496,    45.873
  50.948,    55.065,    56.271,    39.445,    46.987
  51.941,    56.057,    57.264,    40.268,    47.970
  52.934,    57.050,    58.257,    41.337,    49.301
  53.927,    58.043,    59.250,    42.339,    50.228
  54.920,    59.036,    60.243,    43.254,    51.045
  55.913,    60.029,    61.236,    44.278,    52.012
  56.905,    61.022,    62.228,    45.518,    52.927
  57.898,    62.014,    63.221,    46.294,    54.080
  58.891,    63.007,    64.214,    47.057,    55.227
  59.884,    64.000,    65.207,    48.224,    55.959
  60.877,    64.993,    66.200,    48.837,    57.497
  61.870,    65.986,    67.193,    50.085,    58.261
  62.862,    66.979,    68.185,    50.943,    59.257
  63.855,    67.971,    69.178,    51.966,    60.161
  64.848,    68.964,    70.171,    53.133,    61.241
  65.841,    69.957,    71.164,    54.235,    62.302
  66.834,    70.950,    72.157,    55.126,    63.224
  67.827,    71.943,    73.150,    56.321,    64.147
  68.820,    72.936,    74.142,    57.132,    65.256
  69.812,    73.928,    75.135,    58.360,    66.231
  70.805,    74.921,    76.128,    58.977,    67.054
  71.798,    75.914,    77.121,    60.053,    68.066
  72.791,    76.907,    78.114,    61.039,    69.080
  73.784,    77.900,    79.107,    62.282,    70.388
  74.776,    78.893,    80.100,    63.200,    71.029
  75.769,    79.885,    81.092,    64.378,    72.203
  76.762,    80.878,    82.085,    65.014,    73.223
  77.755,    81.871,    83.078,    66.263,    74.084
  78.748,    82.864,    84.071,    67.407,    75.316
  79.741,    83.857,    85.064,    67.898,    76.008
  80.734,    84.850,    86.056,    69.310,    77.443
  81.726,    85.843,    87.049,    70.169,    77.938
  82.719,    86.835,    88.042,    70.985,    79.043
  83.712,    87.828,    89.035,    72.212,    80.181
  84.705,    88.821,    90.028,    73.017,    81.093
  85.698,    89.814,    91.021,    74.106,    82.060
  86.691,    90.807,    92.013,    74.985,    83.245
  87.683,    91.800,    93.006,    75.959,    84.133
  88.676,    92.792,    93.999,    77.001,    85.348
  89.669,    93.785,    94.992,    78.199,    86.048
  90.662,    94.778,    95.985,    79.113,    86.920
  91.655,    95.771,    96.978,    80.099,    88.291
  92.648,    96.764,    97.971,    81.087,    89.135
  93.641,    97.757,    98.963,    82.225,    90.152
  94.633,    98.749,    99.956,    83.150,    91.323
  95.626,    99.742,   100.949,    83.917,    92.338
  96.619,   100.735,   101.942,    84.974,    93.031
  97.612,   101.728,   102.935,    85.966,    94.197
  98.605,   102.721,   103.928,    86.959,    95.189
  99.597,   103.714,   104.920,    87.952,    96.182
 100.590,   104.706,   105.913,    88.945,    97.175
 101.583,   105.699,   106.906,    89.938,    98.168
 102.576,   106.692,   107.899,    90.930,    99.161
 103.569,   107.685,   108.892,    91.923,   100.154
 104.562,   108.678,   109.885,    92.916,   101.146
 105.554,   109.671,   110.877,    93.909,   102.139
 106.547,   110.663,   111.870,    94.902,   103.132
 107.540,   111.656,   112.863,    95.895,   104.125
 108.533,   112.649,   113.856,    96.888,   105.118
 109.526,   113.642,   114.849,    97.880,   106.111
 110.519,   114.635,   115.842,    98.873,   107.104
 111.512,   115.628,   116.834,    99.866,   108.096
 112.504,   116.620,   117.827,   100.859,   109.089
 113.497,   117.613,   118.820,   101.852,   110.082
 114.490,   118.606,   119.813,   102.845,   111.075
 115.483,   119.599,   120.806,   103.837,   112.068
 116.476,   120.592,   121.799,   104.830,   113.061
 117.469,   121.585,   122.791,   105.823,   114.053
 118.461,   122.578,   123.784,   106.816,   115.046
 119.454,   123.570,   124.777,   107.809,   116.039
 120.447,   124.563,   125.770,   108.802,   117.032
 121.440,   125.556,   126.763,   109.794,   118.025
 122.433,   126.549,   127.756,   110.787,   119.018
 123.425,   127.542,   128.749,   111.780,   120.010
 124.418,   128.535,   129.741,   112.773,   121.003
 125.411,   129.527,   130.734,   113.766,   121.996
 126.404,   130.520,   131.727,   114.759,   122.989
 127.397,   131.513,   132.720,   115.751,   123.982
 128.390,   132.506,   133.713,   116.744,   124.975
 129.383,   133.499,   134.705,   117.737,   125.967
 130.375,   134.491,   135.698,   118.730,   126.960
 131.368,   135.484,   136.691,   119.723,   127.953
 132.361,   136.477,   137.684,   120.716,   128.946
 133.354,   137.470,   138.677,   121.708,   129.939
 134.347,   138.463,   139.670,   122.701,   130.932
 135.340,   139.456,   140.662,   123.694,   131.924
 136.332,   140.449,   141.655,   124.687,   132.917
 137.325,   141.441,   142.648,   125.680,   133.910
 138.318,   142.434,   143.641,   126.673,   134.903
 139.311,   143.427,   144.634,   127.666,   135.896
 140.304,   144.420,   145.627,   128.658,   136.889
 141.297,   145.413,   146.619,   129.651,   137.881
 142.290,   146.406,   147.612,   130.644,   138.874
 143.282,   147.398,   148.605,   131.637,   139.867
 144.275,   148.391,   149.598,   132.630,   140.860
 145.268,   149.384,   150.591,   133.623,   141.853
 146.261,   150.377,   151.584,   134.615,   142.846
 147.254,   151.370,   152.577,   135.608,   143.839
 148.247,   152.363,   153.569,   136.601,   144.831
 149.239,   153.355,   154.562,   137.594,   145.824
 150.232,   154.348,   155.555,   138.587,   146.817
 151.225,   155.341,   156.548,   139.580,   147.810
 152.218,   156.334,   157.541,   140.572,   148.803
 153.211,   157.327,   158.534,   141.565,   149.796
 154.204,   158.320,   159.526,   142.558,   150.788
 155.196,   159.312,   160.519,   143.551,   151.781
 156.189,   160.305,   161.512,   144.544,   152.774
 157.182,   161.298,   162.505,   145.537,   153.767
 158.175,   162.291,   163.498,   146.529,   154.760
 159.168,   163.284,   164.491,   147.522,   155.753
 160.161,   164.277,   165.484,   148.515,   156.745
 161.153,   165.270,   166.476,   149.508,   157.738
 162.146,   166.262,   167.469,   150.501,   158.731
 163.139,   167.255,   168.462,   151.494,   159.724
 164.132,   168.248,   169.455,   152.486,   160.717
 165.125,   169.241,   170.448,   153.479,   161.710
 166.118,   170.234,   171.441,   154.472,   162.702
 167.110,   171.227,   172.433,   155.465,   163.695
 168.103,   172.219,   173.426,   156.458,   164.688
 169.096,   173.212,   174.419,   157.451,   165.681
 170.089,   174.205,   175.412,   158.444,   166.674
 171.082,   175.198,   176.405,   159.436,   167.667
 172.075,   176.191,   177.398,   160.429,   168.659
 173.068,   177.184,   178.390,   161.422,   169.652
 174.060,   178.176,   179.383,   162.415,   170.645
 175.053,   179.169,   180.376,   163.408,   171.638
 176.046,   180.162,   181.369,   164.401,   172.631
 177.039,   181.155,   182.362,   165.393,   173.624
 178.032,   182.148,   183.355,   166.386,   174.617
 179.025,   183.141,   184.347,   167.379,   175.609
 180.017,   184.133,   185.340,   168.372,   176.602
 181.010,   185.126,   186.333,   169.365,   177.595
 182.003,   186.119,   187.326,   170.358,   178.588
 182.996,   187.112,   188.319,   171.350,   179.581
 183.989,   188.105,   189.312,   172.343,   180.574
 184.982,   189.098,   190.304,   173.336,   181.566
 185.974,   190.091,   191.297,   174.329,   182.559
 186.967,   191.083,   192.290,   175.322,   183.552
 187.960,   192.076,   193.283,   176.315,   184.545
 188.953,   193.069,   194.276,   177.307,   185.538
 189.946,   194.062,   195.269,   178.300,   186.531
 190.939,   195.055,   196.262,   179.293,   187.523
 191.931,   196.048,   197.254,   180.286,   188.516
 192.924,   197.040,   198.247,   181.279,   189.509
 193.917,   198.033,   199.240,   182.272,   190.502
 194.910,   199.026,   200.233,   183.264,   191.495
 195.903,   200.019,   201.226,   184.257,   192.488
 196.896,   201.012,   202.219,   185.250,   193.480
 197.888,   202.005,   203.211,   186.243,   194.473
 198.881,   202.997,   204.204,   187.236,   195.466
 199.874,   203.990,   205.197,   188.229,   196.459
 200.867,   204.983,   206.190,   189.222,   197.452
 201.860,   205.976,   207.183,   190.214,   198.445
 202.853,   206.969,   208.176,   191.207,   199.437
 203.846,   207.962,   209.168,   192.200,   200.430
 204.838,   208.954,   210.161,   193.193,   201.423
 205.831,   209.947,   211.154,   194.186,   202.416
 206.824,   210.940,   212.147,   195.179,   203.409
 207.817,   211.933,   213.140,   196.171,   204.402
 208.810,   212.926,   214.133,   197.164,   205.395
 209.803,   213.919,   215.125,   198.157,   206.387
 210.795,   214.911,   216.118,   199.150,   207.380
 211.788,   215.904,   217.111,   200.143,   208.373
 212.781,   216.897,   218.104,   201.136,   209.366
 213.774,   217.890,   219.097,   202.128,   210.359
 214.767,   218.883,   220.090,   203.121,   211.352
 215.760,   219.876,   221.082,   204.114,   212.344
 216.752,   220.869,   222.075,   205.107,   213.337
 217.745,   221.861,   223.068,   206.100,   214.330
 218.738,   222.854,   224.061,   207.093,   215.323
 219.731,   223.847,   225.054,   208.085,   216.316
 220.724,   224.840,   226.047,   209.078,   217.309
 221.717,   225.833,   227.040,   210.071,   218.301
 222.709,   226.826,   228.032,   211.064,   219.294
 223.702,   227.818,   229.025,   212.057,   220.287
 224.695,   228.811,   230.018,   213.050,   221.280
 225.688,   229.804,   231.011,   214.042,   222.273
 226.681,   230.797,   232.004,   215.035,   223.266
 227.674,   231.790,   232.997,   216.028,   224.258
 228.666,   232.783,   233.989,   217.021,   225.251
 229.659,   233.775,   234.982,   218.014,   226.244
 230.652,   234.768,   235.975,   219.007,   227.237
 231.645,   235.761,   236.968,   220.000,   228.230
 232.638,   236.754,   237.961,   220.992,   229.223
 233.631,   237.747,   238.954,   221.985,   230.215
 234.623,   238.740,   239.946,   222.978,   231.208
 235.616,   239.732,   240.939,   223.971,   232.201
 236.609,   240.725,   241.932,   224.964,   233.194
 237.602,   241.718,   242.925,   225.957,   234.187
 238.595,   242.711,   243.918,   226.949,   235.180
